Tidspunkt,Luftfuktighet (%),pressure,temperature_aht20,temperature_bmp280,tvoc
2025-02-28 07:00:00+00:00,25.45853,102.012,15.84759,15.44904,0.0
2025-02-28 08:00:00+00:00,26.09386,102.093,15.99789,15.60594,0.0
2025-02-28 09:00:00+00:00,28.35245,102.1397,16.2014,15.8164,0.0
2025-02-28 10:00:00+00:00,29.46396,102.1805,15.7856,15.36648,0.0
2025-02-28 11:00:00+00:00,29.14553,102.1902,16.22791,15.8353,0.0
2025-02-28 12:00:00+00:00,27.72532,102.1634,16.8375,16.49623,0.0
2025-02-28 13:00:00+00:00,27.23122,102.1183,17.41066,17.04808,0.0
2025-02-28 14:00:00+00:00,26.20182,102.1006,17.7618,17.42538,0.0
2025-02-28 15:00:00+00:00,24.08724,102.1423,18.97125,18.6755,0.0
2025-02-28 16:00:00+00:00,24.1128,102.1535,19.71474,19.44302,0.0
2025-02-28 17:00:00+00:00,25.37966,102.1846,19.29054,18.99096,0.0
2025-02-28 18:00:00+00:00,26.52521,102.251,18.80016,18.50044,0.0
2025-02-28 19:00:00+00:00,27.47145,102.2922,18.32333,18.02687,1.0
2025-02-28 20:00:00+00:00,27.97022,102.2853,17.99679,17.67481,1.0
2025-02-28 21:00:00+00:00,28.06873,102.2875,17.94071,17.64583,1.0
2025-02-28 22:00:00+00:00,28.64218,102.2889,17.57393,17.26792,1.0
2025-02-28 23:00:00+00:00,28.82681,102.3125,17.53139,17.20366,1.0
2025-03-01 00:00:00+00:00,28.74489,102.2969,17.45567,17.15327,1.0
2025-03-01 01:00:00+00:00,28.67451,102.2944,17.36794,17.06382,1.0
2025-03-01 02:00:00+00:00,28.70502,102.2748,17.34123,17.0317,1.0
2025-03-01 03:00:00+00:00,28.67823,102.2489,17.15832,16.8572,1.0
2025-03-01 04:00:00+00:00,28.40567,102.2603,17.12952,16.80744,0.0
2025-03-01 05:00:00+00:00,28.14083,102.2594,17.16862,16.84272,0.0
2025-03-01 06:00:00+00:00,27.99387,102.2645,17.0927,16.78035,0.0
2025-03-01 07:00:00+00:00,27.64139,102.2757,17.23175,16.9139,0.0
2025-03-01 08:00:00+00:00,27.36969,102.2605,17.37537,17.07327,0.0
2025-03-01 09:00:00+00:00,26.75629,102.279,17.87643,17.56144,0.0
2025-03-01 10:00:00+00:00,26.45483,102.2603,18.37215,18.06592,0.0
2025-03-01 11:00:00+00:00,26.32294,102.2369,18.69392,18.3915,0.0
2025-03-01 12:00:00+00:00,25.98076,102.1688,19.2173,18.92233,0.0
2025-03-01 13:00:00+00:00,25.92678,102.104,19.49635,19.2063,0.0
2025-03-01 14:00:00+00:00,25.58641,102.0776,20.21751,19.96051,0.0
2025-03-01 15:00:00+00:00,24.87278,102.0398,21.0022,20.76494,0.0
2025-03-01 16:00:00+00:00,25.17509,101.9997,21.01498,20.75613,0.0
2025-03-01 17:00:00+00:00,25.47894,102.0298,21.00582,20.76683,0.0
2025-03-01 18:00:00+00:00,25.79594,102.0579,20.75539,20.49681,0.0
2025-03-01 19:00:00+00:00,26.10407,102.0099,20.50819,20.26706,0.0
2025-03-01 20:00:00+00:00,26.24435,102.047,20.36819,20.12481,0.0
2025-03-01 21:00:00+00:00,26.52645,102.0474,20.04452,19.80564,0.0
2025-03-01 22:00:00+00:00,26.3689,102.0877,20.08247,19.83964,0.0
2025-03-01 23:00:00+00:00,26.13201,102.079,20.14847,19.9007,0.0
2025-03-02 00:00:00+00:00,26.19724,102.0399,19.99969,19.75214,0.0
2025-03-02 02:00:00+00:00,26.09472,102.052,19.93847,19.69107,0.0
2025-03-02 03:00:00+00:00,26.03149,101.9402,19.99531,19.76599,0.0
2025-03-02 04:00:00+00:00,25.56763,101.8631,20.47882,20.18586,0.0
2025-03-02 05:00:00+00:00,25.34342,101.7863,20.67509,20.43387,0.0
2025-03-02 06:00:00+00:00,25.32482,101.7795,20.66326,20.41184,0.0
2025-03-02 07:00:00+00:00,27.31476,101.6899,19.04449,18.75232,0.0
2025-03-02 08:00:00+00:00,28.55577,101.7252,18.09711,17.75605,0.0
2025-03-02 09:00:00+00:00,28.56445,101.7233,18.04924,17.7422,0.0
2025-03-02 10:00:00+00:00,28.44915,101.6842,18.14575,17.82911,0.0
2025-03-02 11:00:00+00:00,28.02553,101.6544,18.51921,18.19439,0.0
2025-03-02 12:00:00+00:00,27.67677,101.6405,18.87074,18.55712,0.0
2025-03-02 13:00:00+00:00,27.1369,101.5758,19.41223,19.09989,0.0
2025-03-02 14:00:00+00:00,26.86396,101.5175,19.8164,19.5022,0.0
2025-03-02 15:00:00+00:00,26.73645,101.5082,19.96574,19.6703,0.0
2025-03-02 16:00:00+00:00,26.47133,101.4811,20.21713,19.91392,0.0
2025-03-02 17:00:00+00:00,27.08549,101.4047,19.88106,19.5702,0.0
2025-03-02 18:00:00+00:00,27.38304,101.3413,19.61174,19.30011,0.0
2025-03-02 19:00:00+00:00,27.68745,101.325,19.40498,19.10052,0.0
2025-03-02 20:00:00+00:00,27.56596,101.2434,19.47365,19.16978,0.0
2025-03-02 21:00:00+00:00,26.95093,101.209,19.93294,19.64763,0.0
2025-03-02 22:00:00+00:00,26.08023,101.1795,20.70732,20.45464,0.0
2025-03-02 23:00:00+00:00,25.75903,101.1654,21.0638,20.84298,0.0
2025-03-03 00:00:00+00:00,25.79556,101.1085,20.98408,20.73095,0.0
2025-03-03 01:00:00+00:00,25.98753,101.0607,20.88737,20.65354,0.0
2025-03-03 02:00:00+00:00,25.98228,101.012,20.75558,20.50499,0.0
2025-03-03 03:00:00+00:00,25.9325,100.9373,20.6459,20.41813,0.0
2025-03-03 04:00:00+00:00,25.79803,100.8699,20.89405,20.62207,0.0
2025-03-03 05:00:00+00:00,25.81701,100.8291,20.67509,20.42002,0.0
2025-03-03 06:00:00+00:00,27.50072,100.7765,17.89246,17.54695,0.0
2025-03-03 07:00:00+00:00,29.08325,100.8043,16.7572,16.39354,0.0
2025-03-03 08:00:00+00:00,30.72739,100.7865,17.2205,16.89248,1.0
2025-03-03 09:00:00+00:00,31.01711,100.7781,17.5106,17.17532,1.0
2025-03-03 10:00:00+00:00,31.69565,100.7679,17.75494,17.38759,0.0
2025-03-03 11:00:00+00:00,29.28019,100.7638,18.38188,18.03065,0.0
2025-03-03 12:00:00+00:00,28.09849,100.7335,18.67027,18.37072,1.0
2025-03-03 13:00:00+00:00,23.34461,100.7653,21.55628,21.36345,0.0
2025-03-03 14:00:00+00:00,21.66634,100.7813,22.65224,22.45892,0.0
2025-03-03 15:00:00+00:00,20.80278,100.7309,22.90344,22.71623,0.0
2025-03-03 16:00:00+00:00,20.29657,100.6861,23.45562,23.29057,0.0
2025-03-03 17:00:00+00:00,21.3376,100.6389,23.04153,22.82507,0.0
2025-03-03 18:00:00+00:00,21.80309,100.651,22.88113,22.72441,0.0
2025-03-03 19:00:00+00:00,22.16873,100.6664,23.33431,23.18552,0.0
2025-03-03 20:00:00+00:00,22.41697,100.6502,23.5918,23.42581,0.0
2025-03-03 21:00:00+00:00,22.43881,100.5741,23.32878,23.17986,0.0
2025-03-03 22:00:00+00:00,22.28775,100.5371,23.47126,23.31699,0.0
2025-03-03 23:00:00+00:00,19.9995,100.5434,25.95158,25.86188,0.0
2025-03-04 00:00:00+00:00,20.83311,100.5274,25.32234,25.20238,0.0
2025-03-04 01:00:00+00:00,20.78304,100.4874,25.59528,25.47965,0.0
2025-03-04 02:00:00+00:00,20.49551,100.4376,25.81501,25.69466,0.0
2025-03-04 03:00:00+00:00,20.36524,100.4353,26.10741,26.03727,0.0
2025-03-04 04:00:00+00:00,20.47701,100.3849,26.1158,26.00396,0.0
2025-03-04 05:00:00+00:00,20.4567,100.4006,26.09921,25.9983,0.0
2025-03-04 06:00:00+00:00,21.80376,100.3688,22.81818,22.62123,0.0
2025-03-04 07:00:00+00:00,26.43051,100.3777,19.39487,19.08163,0.0
2025-03-04 08:00:00+00:00,28.0304,100.4066,19.64817,19.30011,0.0
2025-03-04 09:00:00+00:00,29.00143,100.4216,18.73569,18.35246,0.0
2025-03-04 10:00:00+00:00,29.29506,100.4403,18.94588,18.61064,0.0
2025-03-04 11:00:00+00:00,30.73244,100.4431,18.27564,17.8921,0.0
2025-03-04 12:00:00+00:00,30.2146,100.4874,19.0239,18.65976,1.0
2025-03-04 13:00:00+00:00,29.04043,100.5139,18.87417,18.508,0.0
2025-03-04 14:00:00+00:00,32.02972,100.4504,17.89742,17.48144,0.0
2025-03-04 15:00:00+00:00,34.22823,100.413,18.44711,18.09174,1.0
2025-03-04 16:00:00+00:00,31.94704,100.3976,19.27242,18.94563,0.0
2025-03-04 17:00:00+00:00,31.79817,100.3582,19.22264,18.88959,0.0
2025-03-04 18:00:00+00:00,32.02572,100.2328,18.92643,18.57727,0.0
2025-03-04 19:00:00+00:00,32.32203,100.1123,18.74256,18.43054,0.0
2025-03-04 20:00:00+00:00,32.03306,99.96999,18.76602,18.42865,1.0
2025-03-04 21:00:00+00:00,31.84786,99.9028,18.96038,18.62008,1.0
2025-03-04 22:00:00+00:00,31.91328,99.77406,18.9949,18.67802,1.0
2025-03-04 23:00:00+00:00,31.71778,99.71111,19.1288,18.78506,1.0
2025-03-05 00:00:00+00:00,31.64473,99.67229,19.22207,18.87825,1.0
2025-03-05 01:00:00+00:00,31.73876,99.64766,19.17896,18.86566,1.0
2025-03-05 02:00:00+00:00,32.00493,99.62761,19.07806,18.75547,1.0
2025-03-05 03:00:00+00:00,32.21445,99.57578,19.14101,18.82222,1.0
2025-03-05 04:00:00+00:00,32.26023,99.5241,19.08092,18.76239,1.0
2025-03-05 05:00:00+00:00,34.20753,99.5489,18.61897,18.24603,0.0
2025-03-05 06:00:00+00:00,37.11252,99.50599,17.50546,17.17784,0.0
2025-03-05 07:00:00+00:00,37.31737,99.47296,17.17243,16.77909,0.0
2025-03-05 08:00:00+00:00,37.72831,99.48514,17.81216,17.46003,0.0
2025-03-05 09:00:00+00:00,37.02517,99.55949,18.19553,17.84612,0.0
2025-03-05 10:00:00+00:00,39.47563,99.54034,18.2003,17.87509,1.0
2025-03-05 11:00:00+00:00,39.72311,99.54136,18.77651,18.45384,0.0
2025-03-05 12:00:00+00:00,40.33442,99.50234,19.48471,19.19118,0.0
2025-03-05 13:00:00+00:00,39.39314,99.48987,20.07675,19.81887,0.0
2025-03-05 14:00:00+00:00,39.89868,99.52687,19.67659,19.38573,0.0
2025-03-05 15:00:00+00:00,40.93142,99.5425,19.34338,19.05519,0.0
